距離単位ｋｍ,,,,,,,,,,,,,,,,,,
,,※自宅からの距離は各自で入力,,,,,,,,,,,,,,,,
,,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 
自宅,福島県福島市上鳥渡字しのぶ台83-21,,7 ,9 ,11 ,13 ,22 ,18 ,47 ,29 ,12 ,6 ,8 ,4 ,8 ,22 ,25 ,57 
八木田店,福島県福島市八木田字並柳161-2,7 ,,4 ,4 ,7 ,16 ,18 ,47 ,18 ,8 ,3 ,3 ,7 ,4 ,17 ,13 ,36 
西店,福島県福島市野田町字道端79,9 ,4 ,,5 ,4 ,16 ,22 ,48 ,17 ,5 ,6 ,1 ,9 ,7 ,21 ,11 ,47 
腰浜店,福島県福島市腰浜町14-4,11 ,4 ,5 ,,7 ,12 ,20 ,46 ,19 ,7 ,5 ,5 ,11 ,4 ,15 ,10 ,34 
北店,福島県福島市笹谷字片目清水30-4,13 ,7 ,4 ,7 ,,14 ,25 ,51 ,15 ,2 ,9 ,5 ,12 ,10 ,22 ,9 ,46 
保原店,福島県伊達市保原町字栄町38-1,22 ,16 ,16 ,12 ,14 ,,32 ,50 ,7 ,15 ,17 ,16 ,22 ,15 ,27 ,4 ,29 
安達店,福島県二本松市油井字腰巻7,18 ,18 ,22 ,20 ,25 ,32 ,,29 ,34 ,25 ,14 ,19 ,22 ,14 ,15 ,28 ,32 
船引店,福島県田村市船引町東部台4-34,47 ,47 ,48 ,46 ,51 ,50 ,29 ,,57 ,52 ,45 ,48 ,50 ,43 ,32 ,53 ,42 
国見店,福島県伊達郡国見町藤田字中沢4-1,29 ,18 ,17 ,19 ,15 ,7 ,34 ,57 ,,16 ,20 ,18 ,25 ,18 ,34 ,7 ,45 
信陵店,福島県福島市笹谷字出水頭1-2,12 ,8 ,5 ,7 ,2 ,15 ,25 ,52 ,16 ,,9 ,5 ,12 ,10 ,24 ,10 ,45 
南福島店,福島県福島市太平寺字児子塚52-1,6 ,3 ,6 ,5 ,9 ,17 ,14 ,45 ,20 ,9 ,,5 ,8 ,2 ,16 ,14 ,35 
福島中央店,福島県福島市西中央2-8,8 ,3 ,1 ,5 ,5 ,16 ,19 ,48 ,18 ,5 ,5 ,,8 ,6 ,20 ,12 ,48 
荒井店,福島県福島市荒井北3-12-5,4 ,7 ,9 ,11 ,12 ,22 ,22 ,50 ,25 ,12 ,8 ,8 ,,9 ,24 ,25 ,57 
鳥谷野店,福島県福島市鳥谷野字芝切18,8 ,4 ,7 ,4 ,10 ,15 ,14 ,43 ,18 ,10 ,2 ,6 ,9 ,,15 ,12 ,34 
川俣店,福島県伊達郡川俣町大字鶴沢字社前87,22 ,17 ,21 ,15 ,22 ,27 ,15 ,32 ,34 ,24 ,16 ,20 ,24 ,15 ,,25 ,19 
伊達箱崎店,福島県伊達市箱崎字布川89,25 ,13 ,11 ,10 ,9 ,4 ,28 ,53 ,7 ,10 ,14 ,12 ,25 ,12 ,25 ,,35 
飯舘店,福島県相馬郡飯舘村草野字大師堂1,57 ,36 ,47 ,34 ,46 ,29 ,32 ,42 ,45 ,45 ,35 ,48 ,57 ,34 ,19 ,35 ,
